BAIAP3,COL24A1,DHRS7,ETFDH,FRZB,HBG1,IBSP,POU4F1,PSAT1,RIOK2,TCEAL4,TCF21,TRPA1,VIL1,ZNRF2,label
-0.61672873,1.413945085,5.259713891,4.669166036,5.584463666,-5.662870512,0.219772537,-3.340942417,5.360190738,4.312977456,7.44940608,-5.662870512,-5.662870512,-5.662870512,3.842941042,0
1.159416559,-0.662990904,5.277294812,4.283964956,4.481860916,-5.381809151,-0.071953889,1.247547469,4.159287464,4.441027198,6.075742734,-1.352061808,-2.21188415,-6.966771652,4.914724733,1
-2.085124219,0.50596601,5.216293511,4.242692728,1.871187616,-3.925083807,-2.340121306,-3.562513728,5.693563884,3.756405617,5.553830234,-6.732438729,-0.092049169,-3.925083807,4.290622521,0
-1.67722054,-0.320646302,5.754900832,3.467366898,2.077481419,-6.203289351,1.109593604,-2.502849633,5.733716575,4.448659259,6.162759599,-6.203289351,-0.038583511,-4.618326851,3.831509611,0
-2.045770847,0.332561385,5.848138675,4.369005499,7.420518817,-4.452540731,-1.110148533,-4.937967558,4.537360565,4.921567229,5.385537623,-3.800464034,2.252726309,-7.259895653,5.727901276,1
2.397692429,2.341108901,4.897927343,3.589185584,2.039585026,-6.650412945,1.821262269,1.473708367,5.118184937,4.304510347,6.189774879,-5.065450444,4.954223674,-6.650412945,4.77637595,0
-0.888543904,1.766439624,5.692304407,3.156969421,3.402772855,-5.373111728,2.32037523,2.440669463,6.639396422,4.077412223,5.612018646,-5.373111728,-4.630386865,-5.373111728,4.224940772,0
3.163493171,0.867052079,6.001820635,4.447554932,4.458235018,-6.209763518,-6.209763518,-4.624801017,3.435894914,4.73787342,7.426521232,-3.887835423,-4.624801017,-6.209763518,5.514323944,1
-1.422216935,3.176426678,4.828257746,4.015168236,2.984038879,-6.469231755,0.130681087,2.850440366,6.23748009,4.768575719,5.885843992,-6.469231755,0.376258296,-6.469231755,3.468877571,0
0.691681253,-0.23250374,6.061431089,4.132904674,1.394894027,-6.29859293,-0.744004079,-6.29859293,4.520787861,4.900465893,6.545916696,-4.713630429,0.788233287,-6.29859293,4.670793591,1
2.897098071,-2.007277252,5.587589097,4.335970084,5.957948462,-6.961473562,-6.961473562,-1.676071343,3.359326987,3.984701679,6.115509004,-1.40688471,-4.150002531,-6.961473562,5.045904171,1
0.755202291,1.744607759,5.227204881,3.728840443,4.475737018,-5.58630912,2.381397477,-2.778954198,6.125214466,4.551109015,5.945559656,-4.849343525,-2.416384118,-1.679418524,3.742365808,1
